Date,Queue,New,Resolved
2023-01-01,0,0,0
2023-01-02,0,0,0
2023-01-03,-1,0,0
2023-01-04,-2,0,0
2023-01-05,-2,0,0
2023-01-06,-4,0,0
2023-01-07,-4,0,0
2023-01-08,-5,0,1
2023-01-09,-5,0,0
2023-01-10,-6,0,0
2023-01-11,-8,0,0
2023-01-12,-8,0,0
2023-01-13,-9,0,0
2023-01-14,-10,0,1
2023-01-15,-12,0,0
2023-01-16,-12,0,0
2023-01-17,-13,0,1
2023-01-18,-12,0,0
2023-01-19,-13,0,0
2023-01-20,-14,0,0
2023-01-21,-17,0,1
2023-01-22,-16,0,0
2023-01-23,-16,0,0
2023-01-24,-19,0,0
2023-01-25,-22,0,0
2023-01-26,-23,0,0
2023-01-27,-23,0,0
2023-01-28,-23,0,0
2023-01-29,-23,0,0
2023-01-30,-24,0,1
2023-01-31,-24,0,0
2023-02-01,-25,0,1
2023-02-02,-25,0,0
2023-02-03,-25,0,0
2023-02-04,-25,0,0
2023-02-05,-25,0,0
2023-02-06,-25,0,0
2023-02-07,-25,0,0
2023-02-08,-25,0,0
2023-02-09,-27,0,0
2023-02-10,-27,0,0
2023-02-11,-27,0,0
2023-02-12,-27,0,0
2023-02-13,-29,0,1
2023-02-14,-29,0,0
2023-02-15,-32,0,0
2023-02-16,-32,0,0
2023-02-17,-33,0,0
2023-02-18,-34,0,0
2023-02-19,-35,0,0
2023-02-20,-37,0,0
2023-02-21,-40,0,1
2023-02-22,-41,0,0
2023-02-23,-42,0,1
2023-02-24,-41,0,0
2023-02-25,-41,0,0
2023-02-26,-41,0,0
2023-02-27,-41,0,0
2023-02-28,-41,0,0
2023-03-01,-42,0,0
2023-03-02,-42,0,0
2023-03-03,-42,0,0
2023-03-04,-42,0,0
2023-03-05,-42,0,0
2023-03-06,-44,0,0
2023-03-07,-44,0,0
2023-03-08,-44,0,0
2023-03-09,-44,0,0
2023-03-10,-45,0,0
2023-03-11,-46,0,0
2023-03-12,-47,0,0
2023-03-13,-47,0,0
2023-03-14,-47,0,0
2023-03-15,-48,0,1
2023-03-16,-48,0,0
2023-03-17,-48,0,0
2023-03-18,-49,0,0
2023-03-19,-50,0,0
2023-03-20,-50,0,0
2023-03-21,-50,0,0
2023-03-22,-51,0,0
2023-03-23,-51,0,0
2023-03-24,-53,0,1
2023-03-25,-53,0,0
2023-03-26,-54,0,0
2023-03-27,-54,0,0
2023-03-28,-54,0,0
2023-03-29,-54,0,0
2023-03-30,-55,0,0
2023-03-31,-56,0,0
2023-04-01,-58,0,0
2023-04-02,-58,0,0
2023-04-03,-59,0,0
2023-04-04,-59,0,0
2023-04-05,-62,0,0
2023-04-06,-62,0,0
2023-04-07,-62,0,0
2023-04-08,-64,0,0
2023-04-09,-66,0,0
2023-04-10,-69,0,0
2023-04-11,-69,0,0
2023-04-12,-69,0,0
2023-04-13,-69,0,0
2023-04-14,-69,0,0
2023-04-15,-71,0,1
2023-04-16,-71,0,0
2023-04-17,-71,0,0
2023-04-18,-71,0,0
2023-04-19,-71,0,0
2023-04-20,-71,0,0
2023-04-21,-72,0,0
2023-04-22,-72,0,0
2023-04-23,-73,0,0
2023-04-24,-75,0,0
2023-04-25,-77,0,0
2023-04-26,-78,0,0
2023-04-27,-78,0,0
2023-04-28,-78,0,0
2023-04-29,-78,0,0
2023-04-30,-80,0,0
2023-05-01,-81,0,0
2023-05-02,-84,0,0
2023-05-03,-84,0,0
2023-05-04,-85,0,0
2023-05-05,-87,0,0
2023-05-06,-87,0,0
2023-05-07,-89,0,0
2023-05-08,-90,0,0
2023-05-09,-91,0,0
2023-05-10,-91,0,0
2023-05-11,-91,0,0
2023-05-12,-92,0,0
2023-05-13,-92,0,0
2023-05-14,-92,0,0
2023-05-15,-93,0,0
2023-05-16,-94,0,0
2023-05-17,-95,0,0
2023-05-18,-95,0,0
2023-05-19,-98,0,0
2023-05-20,-99,0,0
2023-05-21,-100,0,0
2023-05-22,-100,0,0
2023-05-23,-100,0,0
2023-05-24,-100,0,0
2023-05-25,-100,0,0
2023-05-26,-101,0,0
2023-05-27,-101,0,0
2023-05-28,-101,0,0
2023-05-29,-104,0,0
2023-05-30,-104,0,0
2023-05-31,-104,0,0
2023-06-01,-105,0,0
2023-06-02,-105,0,0
2023-06-03,-105,0,0
2023-06-04,-106,0,0
2023-06-05,-106,0,0
2023-06-06,-108,0,0
2023-06-07,-109,0,0
2023-06-08,-111,0,0
2023-06-09,-111,0,0
2023-06-10,-114,0,0
2023-06-11,-115,0,0
2023-06-12,-116,0,0
2023-06-13,-116,0,0
2023-06-14,-118,0,0
2023-06-15,-118,0,0
2023-06-16,-118,0,0
2023-06-17,-118,0,0
2023-06-18,-119,0,0
2023-06-19,-120,0,0
2023-06-20,-121,0,0
2023-06-21,-121,0,0
2023-06-22,-124,0,0
2023-06-23,-125,0,0
2023-06-24,-126,0,0
2023-06-25,-127,0,0
2023-06-26,-128,0,0
2023-06-27,-128,0,0
2023-06-28,-128,0,0
2023-06-29,-129,0,0
2023-06-30,-129,0,0
2023-07-01,-129,0,0
2023-07-02,-130,0,0
2023-07-03,-130,0,0
2023-07-04,-130,0,0
2023-07-05,-132,0,0
2023-07-06,-133,0,0
2023-07-07,-135,0,1
2023-07-08,-134,0,0
2023-07-09,-135,0,0
2023-07-10,-135,0,0
2023-07-11,-136,0,0
2023-07-12,-137,0,0
2023-07-13,-139,0,0
2023-07-14,-139,0,0
2023-07-15,-140,0,0
2023-07-16,-142,0,0
2023-07-17,-145,0,0
2023-07-18,-146,0,0
2023-07-19,-146,0,0
2023-07-20,-148,0,0
2023-07-21,-149,0,0
2023-07-22,-151,0,0
2023-07-23,-151,0,0
2023-07-24,-152,0,0
2023-07-25,-153,0,0
